race_id,driver_id,start_pos,gap_to_pole,cs_driver_results_missing,cs_driver_standing,cs_driver_podium_rate,csa_pos_change,csa_finish_pos,p3s_driver_results_missing,p3sa_pos_change_same_circuit,p3sa_finish_pos_same_circuit,cs_const_results_missing,cs_const_standing,cs_const_podium_rate,circuit_avg_pos_change,finish_pos
230,64,17,0.768,0,16,0.0,9.0,9.0,1,0.0,0.0,0,5,0.14,4.0,6
240,30,2,0.038,1,0,0.0,0.0,0.0,0,1.0,1.0,1,0,0.0,-0.85,1
240,14,3,0.042,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,-0.41,2
240,77,5,0.103,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.17,3
240,57,7,0.164,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.94,4
240,55,6,0.12,1,0,0.0,0.0,0.0,0,0.0,3.0,1,0,0.0,-1.0,5
240,87,9,0.212,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,-1.44,6
240,63,12,0.291,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,1.69,7
240,88,15,0.36,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,3.75,8
240,85,22,0.723,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,8.38,9
240,64,25,0.961,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,15.0,10
241,71,2,0.058,1,0,0.0,0.0,0.0,1,0.0,0.0,0,2,1.0,1.0,1
241,55,6,0.099,0,5,0.0,1.0,5.0,1,0.0,0.0,0,3,0.5,1.5,2
241,30,3,0.073,0,1,1.0,1.0,1.0,1,0.0,0.0,0,1,1.0,0.67,3
241,65,11,0.272,1,0,0.0,0.0,0.0,1,0.0,0.0,0,1,1.0,5.67,4
241,49,9,0.167,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,2.33,5
241,77,8,0.145,0,3,1.0,2.0,3.0,1,0.0,0.0,0,3,0.5,3.33,6
241,44,18,0.397,1,0,0.0,0.0,0.0,1,0.0,0.0,0,6,0.0,10.0,7
241,79,15,0.302,1,0,0.0,0.0,0.0,1,0.0,0.0,0,5,0.0,4.0,8
241,93,20,0.448,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,11.0,9
242,71,4,0.025,0,2,1.0,1.0,1.0,0,-2.0,6.0,0,2,1.0,-1.38,1
242,55,5,0.058,0,3,0.5,2.5,3.5,1,0.0,0.0,0,3,0.5,0.6,2
242,77,2,0.001,0,5,0.5,2.0,4.5,1,0.0,0.0,0,3,0.5,-0.2,3
242,14,3,0.02,0,4,1.0,1.0,2.0,1,0.0,0.0,0,2,1.0,-1.62,4
242,57,6,0.114,0,6,0.0,3.0,4.0,0,5.0,3.0,0,4,0.0,1.88,5
242,49,14,0.437,0,8,0.0,4.0,5.0,0,0.0,7.0,0,5,0.0,4.17,6
242,65,8,0.222,0,7,0.0,7.0,4.0,0,10.0,10.0,0,1,0.67,0.78,7
242,56,7,0.133,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.29,8
242,44,12,0.373,0,10,0.0,11.0,7.0,0,8.0,11.0,0,6,0.0,3.5,9
242,95,9,0.24,1,0,0.0,0.0,0.0,1,0.0,0.0,0,4,0.0,3.14,10
242,88,16,0.496,0,13,0.0,7.0,8.0,1,0.0,0.0,0,6,0.0,4.29,11
242,94,18,0.553,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,6.5,12
242,81,11,0.247,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,1.86,13
242,69,20,0.62,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,7.67,14
243,30,1,0.0,0,2,1.0,0.5,2.0,0,-1.0,2.0,0,3,0.5,-0.53,1
243,65,7,0.258,0,7,0.0,4.0,5.5,1,0.0,0.0,0,3,0.5,0.56,2
243,77,3,0.077,0,5,0.67,1.0,4.0,1,0.0,0.0,0,2,0.67,-0.72,3
243,71,5,0.111,0,1,1.0,2.0,1.0,0,1.0,1.0,0,1,0.75,0.41,4
243,56,6,0.235,0,13,0.0,-1.0,8.0,0,7.0,6.0,0,8,0.0,-1.44,5
243,44,15,0.464,0,10,0.0,7.0,8.0,0,12.0,7.0,0,6,0.0,4.23,6
243,22,8,0.279,1,0,0.0,0.0,0.0,1,0.0,0.0,0,8,0.0,0.19,7
243,49,12,0.414,0,8,0.0,6.0,5.5,1,0.0,0.0,0,5,0.0,2.43,8
243,84,11,0.405,1,0,0.0,0.0,0.0,0,-3.0,11.0,0,6,0.0,1.44,9
243,63,13,0.435,0,11,0.0,5.0,7.0,1,0.0,0.0,0,7,0.0,2.39,10
243,81,14,0.445,0,20,0.0,-2.0,13.0,1,0.0,0.0,0,13,0.0,2.93,11
243,50,16,0.541,1,0,0.0,0.0,0.0,1,0.0,0.0,0,10,0.0,2.8,12
243,91,20,0.687,1,0,0.0,0.0,0.0,1,0.0,0.0,0,5,0.0,5.25,13
243,94,19,0.639,0,19,0.0,6.0,12.0,0,13.0,5.0,0,12,0.0,5.56,14
243,93,22,0.757,0,16,0.0,11.0,9.0,1,0.0,0.0,0,10,0.0,5.89,15
244,30,2,0.082,0,1,1.0,0.33,1.67,1,0.0,0.0,0,1,0.67,-0.89,1
244,71,1,0.0,0,2,0.67,1.67,2.0,1,0.0,0.0,0,2,0.6,-0.56,2
244,77,4,0.132,0,4,0.75,0.75,3.75,1,0.0,0.0,0,3,0.71,-0.67,3
244,65,7,0.202,0,5,0.33,4.33,4.33,1,0.0,0.0,0,1,0.67,-1.07,4
